"SampName","RunOrder","Batch","Group"
"qc1",1,1,"QC"
"s1_1",2,1,"TG"
"s2_1",3,1,"TG"
"s3_1",4,1,"TG"
"s4_1",5,1,"CG"
"s5_1",6,1,"TG"
"qc2",7,1,"QC"
"s6_1",8,1,"CG"
"s7_1",9,1,"TG"
"s8_1",10,1,"TG"
"s9_1",11,1,"CG"
"s10_1",12,1,"TG"
"qc3",13,1,"QC"
"s1_2",14,1,"TG"
"s2_2",15,1,"TG"
"s3_2",16,1,"TG"
"s4_2",17,1,"CG"
"s5_2",18,1,"TG"
"qc4",19,1,"QC"
"s6_2",20,1,"CG"
"s7_2",21,1,"TG"
"s8_2",22,1,"TG"
"s9_2",23,1,"CG"
"s10_2",24,1,"TG"
"qc5",25,1,"QC"
"qc6",26,2,"QC"
"s11_1",27,2,"CG"
"s12_1",28,2,"TG"
"s13_1",29,2,"CG"
"s14_1",30,2,"CG"
"s15_1",31,2,"TG"
"qc7",32,2,"QC"
"s16_1",33,2,"TG"
"s17_1",34,2,"TG"
"s18_1",35,2,"CG"
"s19_1",36,2,"CG"
"s20_1",37,2,"CG"
"qc8",38,2,"QC"
"s11_2",39,2,"CG"
"s12_2",40,2,"TG"
"s13_2",41,2,"CG"
"s14_2",42,2,"CG"
"s15_2",43,2,"TG"
"qc9",44,2,"QC"
"s16_2",45,2,"TG"
"s17_2",46,2,"TG"
"s18_2",47,2,"CG"
"s19_2",48,2,"CG"
"s20_2",49,2,"CG"
"qc10",50,2,"QC"
"qc11",51,3,"QC"
"s21_1",52,3,"CG"
"s22_1",53,3,"TG"
"s23_1",54,3,"CG"
"s24_1",55,3,"TG"
"s25_1",56,3,"CG"
"qc12",57,3,"QC"
"s26_1",58,3,"TG"
"s27_1",59,3,"CG"
"s28_1",60,3,"TG"
"s29_1",61,3,"CG"
"s30_1",62,3,"TG"
"qc13",63,3,"QC"
"s21_2",64,3,"CG"
"s22_2",65,3,"TG"
"s23_2",66,3,"CG"
"s24_2",67,3,"TG"
"s25_2",68,3,"CG"
"qc14",69,3,"QC"
"s26_2",70,3,"TG"
"s27_2",71,3,"CG"
"s28_2",72,3,"TG"
"s29_2",73,3,"CG"
"s30_2",74,3,"TG"
"qc15",75,3,"QC"
"qc16",76,4,"QC"
"s31_1",77,4,"TG"
"s32_1",78,4,"TG"
"s33_1",79,4,"CG"
"s34_1",80,4,"TG"
"s35_1",81,4,"TG"
"qc17",82,4,"QC"
"s36_1",83,4,"CG"
"s37_1",84,4,"CG"
"s38_1",85,4,"TG"
"s39_1",86,4,"TG"
"s40_1",87,4,"TG"
"qc18",88,4,"QC"
"s31_2",89,4,"TG"
"s32_2",90,4,"TG"
"s33_2",91,4,"CG"
"s34_2",92,4,"TG"
"s35_2",93,4,"TG"
"qc19",94,4,"QC"
"s36_2",95,4,"CG"
"s37_2",96,4,"CG"
"s38_2",97,4,"TG"
"s39_2",98,4,"TG"
"s40_2",99,4,"TG"
"qc20",100,4,"QC"
"qc21",101,5,"QC"
"s41_1",102,5,"CG"
"s42_1",103,5,"CG"
"s43_1",104,5,"TG"
"s44_1",105,5,"TG"
"s45_1",106,5,"CG"
"qc22",107,5,"QC"
"s46_1",108,5,"CG"
"s47_1",109,5,"TG"
"s48_1",110,5,"CG"
"s49_1",111,5,"TG"
"s50_1",112,5,"CG"
"qc23",113,5,"QC"
"s41_2",114,5,"CG"
"s42_2",115,5,"CG"
"s43_2",116,5,"TG"
"s44_2",117,5,"TG"
"s45_2",118,5,"CG"
"qc24",119,5,"QC"
"s46_2",120,5,"CG"
"s47_2",121,5,"TG"
"s48_2",122,5,"CG"
"s49_2",123,5,"TG"
"s50_2",124,5,"CG"
"qc25",125,5,"QC"
"qc26",126,6,"QC"
"s51_1",127,6,"CG"
"s52_1",128,6,"CG"
"s53_1",129,6,"TG"
"s54_1",130,6,"TG"
"s55_1",131,6,"CG"
"qc27",132,6,"QC"
"s56_1",133,6,"TG"
"s57_1",134,6,"TG"
"s58_1",135,6,"TG"
"s59_1",136,6,"CG"
"s60_1",137,6,"CG"
"qc28",138,6,"QC"
"s51_2",139,6,"CG"
"s52_2",140,6,"CG"
"s53_2",141,6,"TG"
"s54_2",142,6,"TG"
"s55_2",143,6,"CG"
"qc29",144,6,"QC"
"s56_2",145,6,"TG"
"s57_2",146,6,"TG"
"s58_2",147,6,"TG"
"s59_2",148,6,"CG"
"s60_2",149,6,"CG"
"qc30",150,6,"QC"
"qc31",151,7,"QC"
"s61_1",152,7,"CG"
"s62_1",153,7,"TG"
"s63_1",154,7,"CG"
"s64_1",155,7,"TG"
"s65_1",156,7,"CG"
"qc32",157,7,"QC"
"s66_1",158,7,"TG"
"s67_1",159,7,"CG"
"s68_1",160,7,"TG"
"s69_1",161,7,"CG"
"s70_1",162,7,"CG"
"qc33",163,7,"QC"
"s61_2",164,7,"CG"
"s62_2",165,7,"TG"
"s63_2",166,7,"CG"
"s64_2",167,7,"TG"
"s65_2",168,7,"CG"
"qc34",169,7,"QC"
"s66_2",170,7,"TG"
"s67_2",171,7,"CG"
"s68_2",172,7,"TG"
"s69_2",173,7,"CG"
"s70_2",174,7,"CG"
"qc35",175,7,"QC"
"qc36",176,8,"QC"
"s71_1",177,8,"CG"
"s72_1",178,8,"TG"
"s73_1",179,8,"CG"
"s74_1",180,8,"CG"
"s75_1",181,8,"TG"
"qc37",182,8,"QC"
"s76_1",183,8,"TG"
"s77_1",184,8,"CG"
"s78_1",185,8,"CG"
"s79_1",186,8,"CG"
"s80_1",187,8,"CG"
"qc38",188,8,"QC"
"s71_2",189,8,"CG"
"s72_2",190,8,"TG"
"s73_2",191,8,"CG"
"s74_2",192,8,"CG"
"s75_2",193,8,"TG"
"qc39",194,8,"QC"
"s76_2",195,8,"TG"
"s77_2",196,8,"CG"
"s78_2",197,8,"CG"
"s79_2",198,8,"CG"
"s80_2",199,8,"CG"
"qc40",200,8,"QC"
"qc41",201,9,"QC"
"s81_1",202,9,"CG"
"s82_1",203,9,"CG"
"s83_1",204,9,"TG"
"s84_1",205,9,"CG"
"s85_1",206,9,"CG"
"qc42",207,9,"QC"
"s86_1",208,9,"CG"
"s87_1",209,9,"TG"
"s88_1",210,9,"CG"
"s89_1",211,9,"TG"
"s90_1",212,9,"CG"
"qc43",213,9,"QC"
"s81_2",214,9,"CG"
"s82_2",215,9,"CG"
"s83_2",216,9,"TG"
"s84_2",217,9,"CG"
"s85_2",218,9,"CG"
"qc44",219,9,"QC"
"s86_2",220,9,"CG"
"s87_2",221,9,"TG"
"s88_2",222,9,"CG"
"s89_2",223,9,"TG"
"s90_2",224,9,"CG"
"qc45",225,9,"QC"
"qc46",226,10,"QC"
"s91_1",227,10,"CG"
"s92_1",228,10,"TG"
"s93_1",229,10,"CG"
"s94_1",230,10,"CG"
"s95_1",231,10,"CG"
"qc47",232,10,"QC"
"s96_1",233,10,"CG"
"s97_1",234,10,"TG"
"s98_1",235,10,"TG"
"s99_1",236,10,"TG"
"s100_1",237,10,"TG"
"qc48",238,10,"QC"
"s91_2",239,10,"CG"
"s92_2",240,10,"TG"
"s93_2",241,10,"CG"
"s94_2",242,10,"CG"
"s95_2",243,10,"CG"
"qc49",244,10,"QC"
"s96_2",245,10,"CG"
"s97_2",246,10,"TG"
"s98_2",247,10,"TG"
"s99_2",248,10,"TG"
"s100_2",249,10,"TG"
"qc50",250,10,"QC"
"qc51",251,11,"QC"
"s101_1",252,11,"TG"
"s102_1",253,11,"TG"
"s103_1",254,11,"TG"
"s104_1",255,11,"TG"
"s105_1",256,11,"CG"
"qc52",257,11,"QC"
"s106_1",258,11,"TG"
"s107_1",259,11,"TG"
"s108_1",260,11,"TG"
"s109_1",261,11,"CG"
"s110_1",262,11,"TG"
"qc53",263,11,"QC"
"s101_2",264,11,"TG"
"s102_2",265,11,"TG"
"s103_2",266,11,"TG"
"s104_2",267,11,"TG"
"s105_2",268,11,"CG"
"qc54",269,11,"QC"
"s106_2",270,11,"TG"
"s107_2",271,11,"TG"
"s108_2",272,11,"TG"
"s109_2",273,11,"CG"
"s110_2",274,11,"TG"
"qc55",275,11,"QC"
"qc56",276,12,"QC"
"s111_1",277,12,"TG"
"s112_1",278,12,"CG"
"s113_1",279,12,"TG"
"s114_1",280,12,"TG"
"s115_1",281,12,"TG"
"qc57",282,12,"QC"
"s116_1",283,12,"CG"
"s117_1",284,12,"CG"
"s118_1",285,12,"TG"
"s119_1",286,12,"TG"
"s120_1",287,12,"CG"
"qc58",288,12,"QC"
"s111_2",289,12,"TG"
"s112_2",290,12,"CG"
"s113_2",291,12,"TG"
"s114_2",292,12,"TG"
"s115_2",293,12,"TG"
"qc59",294,12,"QC"
"s116_2",295,12,"CG"
"s117_2",296,12,"CG"
"s118_2",297,12,"TG"
"s119_2",298,12,"TG"
"s120_2",299,12,"CG"
"qc60",300,12,"QC"
"qc61",301,13,"QC"
"s121_1",302,13,"TG"
"s122_1",303,13,"TG"
"s123_1",304,13,"TG"
"s124_1",305,13,"CG"
"qc62",306,13,"QC"
"s121_2",307,13,"TG"
"s122_2",308,13,"TG"
"s123_2",309,13,"TG"
"s124_2",310,13,"CG"
"qc63",311,13,"QC"
